datetime,open,high,low,close,volume,avg_price
2023-07-31 16:00:00,67.66,67.66,67.66,67.66,17989.75,67.66
2023-07-31 17:00:00,75.97,75.97,75.97,75.97,23949.5,75.97
2023-07-31 18:00:00,89.68,89.68,89.68,89.68,28679.0,89.68
2023-07-31 19:00:00,98.21,98.21,98.21,98.21,30618.25,98.21
2023-07-31 20:00:00,99.97,99.97,99.97,99.97,30217.25,99.97
2023-07-31 21:00:00,99.25,99.25,99.25,99.25,29021.0,99.25
2023-07-31 22:00:00,95.26,95.26,95.26,95.26,26054.75,95.26
2023-07-31 23:00:00,87.63,87.63,87.63,87.63,22202.25,87.63
2023-08-01 00:00:00,68.01,68.01,68.01,68.01,20647.5,68.01
2023-08-01 01:00:00,58.86,58.86,58.86,58.86,19328.0,58.86
2023-08-01 02:00:00,57.86,57.86,57.86,57.86,19160.25,57.86
2023-08-01 03:00:00,56.94,56.94,56.94,56.94,19373.25,56.94
2023-08-01 04:00:00,57.9,57.9,57.9,57.9,20210.5,57.9
2023-08-01 05:00:00,63.4,63.4,63.4,63.4,22519.25,63.4
2023-08-01 06:00:00,91.8,91.8,91.8,91.8,27058.0,91.8
2023-08-01 07:00:00,94.44,94.44,94.44,94.44,30672.25,94.44
2023-08-01 08:00:00,99.0,99.0,99.0,99.0,32736.5,99.0
2023-08-01 09:00:00,92.19,92.19,92.19,92.19,31605.75,92.19
2023-08-01 10:00:00,92.72,92.72,92.72,92.72,28225.25,92.72
2023-08-01 11:00:00,87.27,87.27,87.27,87.27,24485.25,87.27
2023-08-01 12:00:00,79.22,79.22,79.22,79.22,19117.0,79.22
2023-08-01 13:00:00,69.92,69.92,69.92,69.92,14586.5,69.92
2023-08-01 14:00:00,60.12,60.12,60.12,60.12,9935.0,60.12
2023-08-01 15:00:00,57.27,57.27,57.27,57.27,8540.5,57.27
2023-08-01 16:00:00,56.96,56.96,56.96,56.96,10051.25,56.96
2023-08-01 17:00:00,68.5,68.5,68.5,68.5,13709.0,68.5
2023-08-01 18:00:00,81.74,81.74,81.74,81.74,19803.25,81.74
2023-08-01 19:00:00,96.05,96.05,96.05,96.05,26967.0,96.05
2023-08-01 20:00:00,108.83,108.83,108.83,108.83,30434.5,108.83
2023-08-01 21:00:00,111.94,111.94,111.94,111.94,29535.75,111.94
2023-08-01 22:00:00,102.55,102.55,102.55,102.55,27078.0,102.55
2023-08-01 23:00:00,92.78,92.78,92.78,92.78,23475.5,92.78
2023-08-02 00:00:00,89.38,89.38,89.38,89.38,21680.75,89.38
2023-08-02 01:00:00,77.54,77.54,77.54,77.54,21069.75,77.54
2023-08-02 02:00:00,69.62,69.62,69.62,69.62,22203.25,69.62
2023-08-02 03:00:00,67.07,67.07,67.07,67.07,23130.25,67.07
2023-08-02 04:00:00,70.23,70.23,70.23,70.23,25498.5,70.23
2023-08-02 05:00:00,87.16,87.16,87.16,87.16,29013.5,87.16
2023-08-02 06:00:00,103.61,103.61,103.61,103.61,34190.25,103.61
2023-08-02 07:00:00,111.96,111.96,111.96,111.96,37388.0,111.96
2023-08-02 08:00:00,98.37,98.37,98.37,98.37,36598.75,98.37
2023-08-02 09:00:00,89.38,89.38,89.38,89.38,33974.75,89.38
2023-08-02 10:00:00,79.07,79.07,79.07,79.07,30859.0,79.07
2023-08-02 11:00:00,64.5,64.5,64.5,64.5,27897.5,64.5
2023-08-02 12:00:00,52.02,52.02,52.02,52.02,23026.25,52.02
2023-08-02 13:00:00,33.08,33.08,33.08,33.08,19890.0,33.08
2023-08-02 14:00:00,24.88,24.88,24.88,24.88,17574.5,24.88
2023-08-02 15:00:00,21.24,21.24,21.24,21.24,17692.25,21.24
2023-08-02 16:00:00,29.15,29.15,29.15,29.15,17536.0,29.15
2023-08-02 17:00:00,52.56,52.56,52.56,52.56,19634.5,52.56
2023-08-02 18:00:00,69.26,69.26,69.26,69.26,24078.0,69.26
2023-08-02 19:00:00,83.92,83.92,83.92,83.92,26280.75,83.92
2023-08-02 20:00:00,81.87,81.87,81.87,81.87,27402.5,81.87
2023-08-02 21:00:00,78.77,78.77,78.77,78.77,25548.75,78.77
2023-08-02 22:00:00,65.7,65.7,65.7,65.7,23189.25,65.7
2023-08-02 23:00:00,38.57,38.57,38.57,38.57,19179.75,38.57
2023-08-03 00:00:00,19.97,19.97,19.97,19.97,16526.0,19.97
2023-08-03 01:00:00,9.51,9.51,9.51,9.51,14691.25,9.51
2023-08-03 02:00:00,3.44,3.44,3.44,3.44,13464.5,3.44
2023-08-03 03:00:00,5.61,5.61,5.61,5.61,13255.75,5.61
2023-08-03 04:00:00,7.2,7.2,7.2,7.2,13298.0,7.2
2023-08-03 05:00:00,24.8,24.8,24.8,24.8,15757.25,24.8
2023-08-03 06:00:00,47.38,47.38,47.38,47.38,19184.25,47.38
2023-08-03 07:00:00,63.0,63.0,63.0,63.0,19938.25,63.0
2023-08-03 08:00:00,70.0,70.0,70.0,70.0,17457.5,70.0
2023-08-03 09:00:00,58.9,58.9,58.9,58.9,13524.0,58.9
2023-08-03 10:00:00,45.45,45.45,45.45,45.45,11110.75,45.45
2023-08-03 11:00:00,34.52,34.52,34.52,34.52,8529.75,34.52
2023-08-03 12:00:00,27.01,27.01,27.01,27.01,5369.0,27.01
2023-08-03 13:00:00,21.25,21.25,21.25,21.25,2172.5,21.25
2023-08-03 14:00:00,17.43,17.43,17.43,17.43,-62.0,17.43
2023-08-03 15:00:00,17.7,17.7,17.7,17.7,-91.75,17.7
2023-08-03 16:00:00,21.94,21.94,21.94,21.94,3886.25,21.94
2023-08-03 17:00:00,45.01,45.01,45.01,45.01,10873.25,45.01
2023-08-03 18:00:00,79.78,79.78,79.78,79.78,18576.25,79.78
2023-08-03 19:00:00,95.26,95.26,95.26,95.26,23767.25,95.26
2023-08-03 20:00:00,96.6,96.6,96.6,96.6,26565.25,96.6
2023-08-03 21:00:00,96.81,96.81,96.81,96.81,28306.75,96.81
2023-08-03 22:00:00,94.38,94.38,94.38,94.38,27883.5,94.38
2023-08-03 23:00:00,87.0,87.0,87.0,87.0,26436.0,87.0
2023-08-04 00:00:00,90.14,90.14,90.14,90.14,26171.5,90.14
2023-08-04 01:00:00,83.85,83.85,83.85,83.85,25864.25,83.85
2023-08-04 02:00:00,80.92,80.92,80.92,80.92,26342.5,80.92
2023-08-04 03:00:00,79.25,79.25,79.25,79.25,27289.0,79.25
2023-08-04 04:00:00,82.77,82.77,82.77,82.77,29766.0,82.77
2023-08-04 05:00:00,88.18,88.18,88.18,88.18,33403.25,88.18
2023-08-04 06:00:00,108.68,108.68,108.68,108.68,38678.5,108.68
2023-08-04 07:00:00,123.76,123.76,123.76,123.76,42104.75,123.76
2023-08-04 08:00:00,120.67,120.67,120.67,120.67,41943.75,120.67
2023-08-04 09:00:00,105.07,105.07,105.07,105.07,38696.75,105.07
2023-08-04 10:00:00,95.16,95.16,95.16,95.16,34738.25,95.16
2023-08-04 11:00:00,90.68,90.68,90.68,90.68,31506.5,90.68
2023-08-04 12:00:00,86.92,86.92,86.92,86.92,29028.5,86.92
2023-08-04 13:00:00,80.81,80.81,80.81,80.81,26088.25,80.81
2023-08-04 14:00:00,77.84,77.84,77.84,77.84,24026.75,77.84
2023-08-04 15:00:00,77.08,77.08,77.08,77.08,25325.5,77.08
2023-08-04 16:00:00,82.89,82.89,82.89,82.89,27846.75,82.89
2023-08-04 17:00:00,95.04,95.04,95.04,95.04,32001.0,95.04
2023-08-04 18:00:00,103.46,103.46,103.46,103.46,37450.5,103.46
2023-08-04 19:00:00,134.86,134.86,134.86,134.86,42159.75,134.86
2023-08-04 20:00:00,139.8,139.8,139.8,139.8,44053.5,139.8
2023-08-04 21:00:00,128.95,128.95,128.95,128.95,43776.0,128.95
2023-08-04 22:00:00,111.0,111.0,111.0,111.0,41401.75,111.0
2023-08-04 23:00:00,98.49,98.49,98.49,98.49,38037.75,98.49
2023-08-05 00:00:00,101.55,101.55,101.55,101.55,35409.5,101.55
2023-08-05 01:00:00,94.9,94.9,94.9,94.9,33433.25,94.9
2023-08-05 02:00:00,92.58,92.58,92.58,92.58,32404.75,92.58
2023-08-05 03:00:00,90.3,90.3,90.3,90.3,32115.5,90.3
2023-08-05 04:00:00,90.24,90.24,90.24,90.24,32108.25,90.24
2023-08-05 05:00:00,90.54,90.54,90.54,90.54,32919.25,90.54
2023-08-05 06:00:00,94.7,94.7,94.7,94.7,34198.0,94.7
2023-08-05 07:00:00,93.03,93.03,93.03,93.03,34044.5,93.03
2023-08-05 08:00:00,93.19,93.19,93.19,93.19,32291.75,93.19
2023-08-05 09:00:00,89.0,89.0,89.0,89.0,28775.5,89.0
2023-08-05 10:00:00,80.1,80.1,80.1,80.1,25051.75,80.1
2023-08-05 11:00:00,75.18,75.18,75.18,75.18,22264.25,75.18
2023-08-05 12:00:00,65.01,65.01,65.01,65.01,20269.0,65.01
2023-08-05 13:00:00,58.91,58.91,58.91,58.91,19354.75,58.91
2023-08-05 14:00:00,58.04,58.04,58.04,58.04,19616.0,58.04
2023-08-05 15:00:00,65.85,65.85,65.85,65.85,21715.0,65.85
2023-08-05 16:00:00,79.73,79.73,79.73,79.73,25568.5,79.73
2023-08-05 17:00:00,99.16,99.16,99.16,99.16,30190.5,99.16
2023-08-05 18:00:00,107.62,107.62,107.62,107.62,34282.25,107.62
